🚀 Starting WebSocket server on port 5000...
✅ WebSocket server ready - waiting for connections...
🎯 Starting BPF monitoring - waiting for DASH traffic on port 8000...
🔍 Starting TCP metrics monitoring for DASH traffic...
✅ eBPF agent and WebSocket server are running in the background.
📡 DASH: 691.5kbps, RTT: 2395.2ms (10.0.0.1:8000 → 10.0.0.2:35414)
📡 DASH: 7.9kbps, RTT: 2631.1ms (10.0.0.1:8000 → 10.0.0.2:35424)
📡 DASH: 7.9kbps, RTT: 2544.9ms (10.0.0.1:8000 → 10.0.0.2:35424)
📡 DASH: 7.8kbps, RTT: 2000.3ms (10.0.0.1:8000 → 10.0.0.2:35430)
📡 DASH: 7.9kbps, RTT: 1537.5ms (10.0.0.1:8000 → 10.0.0.2:35430)
📡 DASH: 7.9kbps, RTT: 1074.8ms (10.0.0.1:8000 → 10.0.0.2:35430)
📡 DASH: 12497.4kbps, RTT: 620.9ms (10.0.0.1:8000 → 10.0.0.2:35430)
📡 DASH: 12497.4kbps, RTT: 204.7ms (10.0.0.1:8000 → 10.0.0.2:35430)
📡 DASH: 7123.6kbps, RTT: 382.4ms (10.0.0.1:8000 → 10.0.0.2:35430)
📡 DASH: 7123.6kbps, RTT: 570.6ms (10.0.0.1:8000 → 10.0.0.2:35430)
📡 DASH: 2894.8kbps, RTT: 946.3ms (10.0.0.1:8000 → 10.0.0.2:35438)
📡 DASH: 3.6kbps, RTT: 1143.3ms (10.0.0.1:8000 → 10.0.0.2:35444)
📡 DASH: 3.6kbps, RTT: 1302.7ms (10.0.0.1:8000 → 10.0.0.2:35444)
📡 DASH: 3.6kbps, RTT: 1173.9ms (10.0.0.1:8000 → 10.0.0.2:35452)
📡 DASH: 3.6kbps, RTT: 1034.6ms (10.0.0.1:8000 → 10.0.0.2:35452)
📡 DASH: 3.6kbps, RTT: 707.8ms (10.0.0.1:8000 → 10.0.0.2:35452)
📡 DASH: 12.6kbps, RTT: 542.5ms (10.0.0.1:8000 → 10.0.0.2:35452)
📡 DASH: 7837.4kbps, RTT: 398.8ms (10.0.0.1:8000 → 10.0.0.2:35452)
📡 DASH: 7837.4kbps, RTT: 536.2ms (10.0.0.1:8000 → 10.0.0.2:35452)
📡 DASH: 7837.4kbps, RTT: 673.6ms (10.0.0.1:8000 → 10.0.0.2:35452)
📡 DASH: 2860.4kbps, RTT: 941.4ms (10.0.0.1:8000 → 10.0.0.2:35464)
📡 DASH: 39783.2kbps, RTT: 1221.8ms (10.0.0.1:8000 → 10.0.0.2:35464)
📡 DASH: 6.3kbps, RTT: 1174.9ms (10.0.0.1:8000 → 10.0.0.2:35480)
📡 DASH: 6.3kbps, RTT: 999.6ms (10.0.0.1:8000 → 10.0.0.2:35480)
📡 DASH: 6.3kbps, RTT: 808.0ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 6.3kbps, RTT: 485.8ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 6.3kbps, RTT: 163.7ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 6.3kbps, RTT: 153.8ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 7585.1kbps, RTT: 184.2ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 7585.1kbps, RTT: 367.5ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 7585.1kbps, RTT: 550.8ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 2932.9kbps, RTT: 888.7ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 13909.7kbps, RTT: 1220.1ms (10.0.0.1:8000 → 10.0.0.2:35496)
📡 DASH: 1121.4kbps, RTT: 1529.4ms (10.0.0.1:8000 → 10.0.0.2:35502)
📡 DASH: 1121.4kbps, RTT: 1702.0ms (10.0.0.1:8000 → 10.0.0.2:35502)
📡 DASH: 7.1kbps, RTT: 1879.2ms (10.0.0.1:8000 → 10.0.0.2:35514)
📡 DASH: 7.1kbps, RTT: 1901.9ms (10.0.0.1:8000 → 10.0.0.2:35514)
📡 DASH: 2.8kbps, RTT: 1592.5ms (10.0.0.1:8000 → 10.0.0.2:49500)
📡 DASH: 2.8kbps, RTT: 1265.1ms (10.0.0.1:8000 → 10.0.0.2:49500)
📡 DASH: 2.8kbps, RTT: 937.7ms (10.0.0.1:8000 → 10.0.0.2:49500)
📡 DASH: 2.8kbps, RTT: 607.1ms (10.0.0.1:8000 → 10.0.0.2:49500)
📡 DASH: 547.2kbps, RTT: 350.6ms (10.0.0.1:8000 → 10.0.0.2:49500)
📡 DASH: 547.2kbps, RTT: 672.4ms (10.0.0.1:8000 → 10.0.0.2:49508)
📡 DASH: 2.9kbps, RTT: 644.9ms (10.0.0.1:8000 → 10.0.0.2:49514)
📡 DASH: 2.9kbps, RTT: 617.4ms (10.0.0.1:8000 → 10.0.0.2:49514)
📡 DASH: 2.9kbps, RTT: 589.9ms (10.0.0.1:8000 → 10.0.0.2:49528)
